Animalname;url
Bottlenose dolphin;https://i.imgur.com/hERxngH.png
Grey seal;https://i.imgur.com/d61p5bs.png
Hairy shrimp;https://i.imgur.com/O7bEyPY.png
Humpback whale;https://i.imgur.com/GUyEJyN.png
Napoleon fish;https://i.imgur.com/VqLy4tH.png
Pileata jellyfish;https://i.imgur.com/DM0gpL0.png
